3300
112038
0    2    4
1    53    9
2    4    8
3    34    16
4    86    10
5    3    9
6    31    5
7    83    7
8    42    5
9    19    1
10    19    13
11    5    10
12    46    2
13    89    18
14    78    6
15    50    3
16    100    12
17    68    15
18    81    19
19    9    13
20    76    1
21    48    3
22    9    1
23    98    1
24    73    18
25    56    10
26    41    4
27    9    16
28    25    3
29    29    11
30    33    1
31    77    16
32    34    2
33    78    15
34    47    7
35    94    11
36    48    3
37    55    9
38    52    13
39    15    10
40    13    20
41    74    13
42    90    20
43    68    19
44    10    3
45    1    14
46    17    19
47    38    18
48    87    2
49    32    19
50    1    7
51    79    6
52    75    17
53    67    9
54    59    14
55    38    16
56    36    7
57    65    9
58    75    4
59    23    10
60    22    19
61    94    6
62    56    8
63    54    14
64    19    13
65    88    11
66    17    20
67    22    18
68    59    8
69    35    8
70    41    19
71    83    1
72    94    8
73    55    11
74    53    20
75    2    7
76    89    7
77    12    9
78    66    10
79    1    4
80    44    2
81    21    12
82    68    5
83    90    14
84    27    9
85    98    6
86    30    16
87    51    5
88    52    2
89    78    2
90    32    18
91    42    10
92    46    20
93    46    10
94    68    11
95    44    19
96    20    13
97    61    20
98    74    3
99    7    18
100    87    3
101    27    14
102    63    6
103    26    4
104    82    2
105    76    5
106    52    12
107    97    15
108    38    9
109    93    11
110    92    8
111    59    1
112    58    13
113    31    13
114    84    19
115    75    12
116    48    15
117    74    17
118    23    7
119    80    2
120    27    10
121    50    16
122    85    13
123    85    7
124    99    2
125    98    15
126    11    3
127    67    16
128    66    13
129    11    19
130    7    1
131    17    8
132    74    18
133    20    11
134    33    4
135    23    16
136    98    18
137    9    16
138    35    8
139    2    12
140    33    19
141    59    1
142    55    18
143    17    20
144    30    9
145    99    7
146    26    11
147    12    10
148    73    11
149    56    1
150    81    3
151    47    9
152    14    15
153    39    5
154    18    5
155    59    11
156    48    7
157    32    3
158    84    14
159    15    6
160    37    13
161    65    3
162    3    3
163    88    9
164    27    4
165    20    19
166    12    12
167    67    15
168    57    2
169    9    7
170    7    8
171    53    5
172    33    14
173    26    2
174    2    10
175    59    16
176    18    7
177    8    17
178    12    3
179    42    19
180    6    16
181    84    6
182    52    12
183    14    7
184    50    2
185    66    7
186    38    13
187    25    2
188    57    15
189    6    20
190    91    1
191    52    15
192    37    7
193    19    14
194    11    17
195    35    9
196    49    7
197    80    1
198    46    2
199    100    14
200    70    14
201    83    6
202    89    19
203    44    9
204    74    4
205    68    3
206    37    15
207    98    18
208    67    20
209    22    18
210    21    18
211    37    11
212    83    5
213    53    13
214    69    3
215    43    14
216    83    5
217    100    18
218    86    1
219    5    6
220    75    16
221    43    10
222    66    20
223    67    17
224    3    3
225    89    17
226    33    14
227    49    8
228    47    3
229    87    1
230    91    2
231    25    7
232    95    3
233    66    16
234    77    6
235    42    4
236    65    9
237    61    2
238    19    7
239    23    4
240    41    12
241    48    7
242    65    7
243    68    14
244    22    9
245    59    13
246    60    16
247    60    10
248    58    1
249    52    18
250    93    11
251    94    17
252    60    3
253    68    15
254    22    13
255    54    14
256    67    3
257    16    11
258    7    11
259    47    19
260    68    19
261    30    9
262    79    6
263    4    1
264    90    4
265    7    10
266    43    8
267    84    18
268    6    20
269    42    12
270    14    18
271    84    7
272    30    19
273    44    20
274    90    17
275    2    4
276    53    11
277    10    18
278    34    12
279    33    20
280    72    17
281    53    10
282    11    7
283    87    14
284    25    11
285    97    17
286    94    18
287    40    14
288    49    16
289    8    6
290    92    18
291    89    17
292    94    2
293    63    16
294    35    4
295    82    20
296    6    2
297    70    8
298    2    1
299    7    2
300    45    1
301    21    17
302    15    20
303    17    7
304    20    11
305    20    4
306    92    5
307    66    3
308    39    13
309    22    10
310    63    18
311    83    10
312    44    3
313    68    19
314    97    14
315    86    10
316    74    13
317    91    14
318    95    10
319    48    10
320    55    5
321    39    8
322    39    20
323    67    7
324    13    15
325    12    11
326    1    20
327    12    7
328    87    17
329    62    7
330    80    19
331    11    17
332    72    9
333    21    19
334    1    11
335    88    6
336    53    19
337    3    3
338    72    17
339    12    15
340    68    13
341    88    7
342    40    12
343    60    1
344    6    18
345    5    9
346    69    17
347    75    7
348    91    9
349    1    17
350    81    19
351    77    10
352    43    1
353    90    3
354    39    2
355    47    14
356    62    13
357    7    7
358    82    17
359    69    10
360    36    15
361    72    4
362    69    3
363    71    17
364    48    3
365    18    19
366    42    17
367    7    4
368    33    4
369    65    4
370    24    5
371    89    17
372    86    14
373    29    3
374    22    18
375    62    18
376    32    20
377    12    16
378    41    11
379    54    3
380    15    16
381    9    6
382    27    2
383    46    2
384    23    6
385    21    12
386    45    5
387    91    7
388    92    2
389    44    11
390    89    11
391    87    1
392    100    12
393    58    3
394    81    16
395    44    10
396    84    7
397    46    6
398    3    15
399    66    12
400    89    17
401    33    4
402    28    12
403    83    14
404    96    3
405    66    20
406    68    9
407    75    10
408    2    13
409    67    12
410    35    15
411    42    15
412    99    9
413    59    2
414    82    19
415    3    18
416    67    7
417    7    11
418    81    1
419    92    4
420    73    1
421    15    12
422    77    17
423    33    12
424    88    18
425    17    7
426    69    6
427    48    1
428    74    6
429    59    2
430    67    3
431    78    6
432    98    14
433    44    3
434    54    10
435    58    19
436    76    19
437    16    15
438    25    20
439    87    16
440    69    6
441    18    7
442    33    7
443    17    2
444    76    19
445    58    15
446    19    19
447    87    16
448    76    13
449    11    8
450    46    11
451    77    7
452    9    4
453    34    3
454    90    20
455    19    13
456    6    15
457    7    12
458    63    5
459    61    15
460    79    15
461    78    13
462    80    16
463    20    5
464    33    14
465    13    16
466    29    4
467    79    11
468    82    19
469    47    6
470    80    13
471    63    12
472    53    1
473    14    11
474    20    8
475    10    5
476    17    9
477    15    13
478    9    2
479    74    12
480    25    19
481    96    5
482    67    13
483    49    13
484    90    1
485    28    1
486    15    18
487    35    5
488    67    10
489    74    15
490    63    13
491    95    15
492    60    20
493    99    18
494    87    6
495    91    18
496    85    3
497    78    14
498    88    19
499    60    19
500    2    14
501    4    1
502    37    12
503    36    16
504    47    15
505    72    16
506    31    5
507    1    3
508    44    12
509    95    1
510    35    20
511    94    20
512    28    8
513    65    19
514    64    9
515    85    2
516    44    4
517    41    9
518    2    15
519    88    2
520    42    1
521    41    18
522    74    2
523    47    19
524    8    17
525    4    14
526    83    4
527    63    12
528    4    9
529    73    17
530    49    14
531    51    7
532    23    8
533    67    15
534    43    17
535    63    16
536    29    19
537    81    18
538    42    7
539    52    19
540    71    15
541    8    17
542    8    17
543    62    19
544    57    6
545    96    12
546    25    12
547    76    10
548    72    4
549    83    14
550    72    17
551    77    15
552    20    1
553    42    13
554    20    14
555    88    18
556    24    1
557    97    3
558    14    7
559    42    5
560    91    15
561    82    19
562    6    12
563    84    6
564    58    7
565    86    11
566    92    11
567    84    6
568    24    16
569    36    13
570    50    20
571    22    20
572    99    18
573    1    10
574    51    19
575    18    8
576    4    6
577    21    3
578    100    6
579    70    8
580    27    19
581    36    20
582    90    9
583    9    2
584    44    17
585    50    20
586    2    14
587    8    2
588    1    3
589    62    9
590    12    1
591    97    14
592    92    3
593    79    15
594    3    8
595    65    19
596    52    19
597    59    20
598    61    9
599    79    16
600    27    7
601    72    6
602    9    19
603    74    7
604    92    10
605    28    17
606    40    7
607    24    2
608    98    19
609    90    4
610    82    11
611    30    13
612    53    9
613    98    7
614    100    11
615    82    20
616    100    5
617    55    15
618    7    14
619    36    10
620    22    10
621    92    9
622    15    1
623    60    10
624    17    6
625    4    14
626    55    16
627    60    15
628    7    8
629    99    6
630    51    5
631    78    17
632    5    19
633    14    13
634    61    4
635    2    2
636    4    7
637    72    9
638    27    17
639    43    10
640    31    6
641    61    19
642    74    18
643    61    6
644    40    13
645    100    8
646    15    7
647    94    4
648    8    10
649    10    15
650    89    17
651    34    19
652    77    11
653    58    11
654    46    18
655    85    12
656    14    7
657    10    8
658    58    7
659    66    14
660    69    4
661    100    15
662    84    4
663    34    19
664    65    16
665    68    7
666    89    17
667    35    1
668    2    15
669    78    14
670    45    10
671    26    1
672    62    15
673    45    8
674    62    1
675    64    7
676    91    6
677    49    19
678    42    15
679    72    7
680    27    18
681    92    1
682    81    2
683    95    5
684    58    2
685    77    7
686    2    12
687    85    6
688    73    9
689    4    20
690    50    1
691    29    3
692    97    15
693    100    4
694    56    3
695    13    12
696    97    20
697    98    2
698    25    6
699    93    5
700    73    12
701    84    14
702    14    16
703    9    16
704    21    4
705    3    10
706    100    9
707    38    18
708    2    2
709    96    7
710    43    2
711    97    6
712    36    15
713    95    16
714    16    7
715    36    3
716    73    20
717    89    2
718    51    8
719    18    5
720    83    3
721    34    18
722    66    7
723    16    4
724    57    18
725    44    9
726    5    16
727    84    8
728    52    4
729    5    8
730    61    16
731    64    16
732    37    7
733    17    9
734    69    20
735    36    19
736    82    18
737    93    1
738    78    19
739    49    15
740    88    19
741    41    5
742    19    12
743    35    13
744    63    18
745    35    9
746    28    12
747    4    19
748    73    8
749    88    4
750    14    1
751    10    12
752    27    7
753    24    6
754    30    10
755    79    13
756    51    9
757    50    3
758    85    2
759    97    9
760    36    3
761    53    13
762    11    20
763    78    19
764    27    7
765    72    2
766    90    20
767    100    18
768    35    10
769    96    13
770    80    9
771    18    18
772    32    14
773    69    6
774    15    9
775    5    19
776    30    4
777    76    1
778    98    11
779    70    5
780    48    14
781    36    17
782    43    12
783    9    10
784    37    3
785    82    20
786    50    18
787    68    3
788    91    15
789    18    13
790    98    18
791    94    16
792    12    4
793    89    4
794    69    8
795    93    3
796    85    6
797    13    10
798    58    2
799    54    3
800    50    16
801    52    18
802    65    9
803    32    10
804    79    19
805    47    10
806    30    19
807    88    2
808    2    19
809    50    8
810    73    3
811    47    12
812    92    7
813    89    7
814    11    11
815    65    13
816    20    13
